DBA
1 HOTEL BROOKLYN BRIDGE
14 OLD FULTON STREET
98K
99 CENT PIZZA
ABURI SUSHI BAR
"ADVENTURES AMUSEMENTS PARK (ice cream, sweets stand)"
ALIOTTA BAKE SHOP
ALITA
AMARACHI PRIME
LA TAQUERIA
LA VILLA PIZZERIA
LE FOND
LE PAIN QUOTIDIEN
LE PETIT MONSTRE
LEE'S VILLA CHINESE RESTAURANT
LELLA ALIMENTARI
LENNY & JOHN'S PIZZA
LENNY'S PIZZA
LEVAIN BAKERY
LITTLE HAITI RESTAURANT
LITTLE TRELAWNY RESTAURANT & GRILL
LOBO BROOKLYN
LODUCA PIZZA
LOONY'S
LOS PRIMOS DELICATESSEN
LUCKY DOG
LUCKY'S JAMAICAN RESTAURANT & BAKERY
LUCY'S PIZZERIA AND RESTAURANT
LUCY'S VIETNAMESE
LUIGI'S PIZZERIA
MANDARIN HOUSE
MARIA COFFEE SHOP & RESTAURANT
MARINER INN
MARLOW EVENTS
MARTHA'S COUNTRY BAKERY
MASAKARI FUSION
MCBEANS RESTAURANT
MCDONALD AVENUE DINER
MCDONALD'S
MCDONALD'S #3880
MEALCO
MI BELLA DAMA RESTAURANT
MIKE'S PIZZA
MILE END DELICATESSEN
MINI BAR
MONTAGUE BAGELS
MONTY Q'S
MORRITO'S CAFE
MOTHER'S FAMOUS CRUST
MR. PHIL'S PIZZA
MY LITTLE PIZZERIA
MY THREE SONS DINER
NAIDRE'S CAFE
NATURAL BLEND
NATURAL SPICE
NEW APOLLO DINER
NEW ERA RESTAURANT
NEW HARDEE
NEW HOUSE GARDEN RESTAURANT
NEW NO 1 CHINESE RESTAURANT
NEW PARKWAY RESTAURANT
NEW PEKING
NEW RUAN'S RESTAURANT
NEW SIU'S KITCHEN INC
NEW TUNG HING
NEW YORK CHAN CHINESE RESTAURANT
NEXT LEVEL BURGER
NITEHAWK CINEMA
NO. 1 CHINESE FOOD
NORWINDS
NUNU BAR
NYC FITNESS CLUB
O-QUOTIDIEN
OH BAGEL
ONE MORE CHARM
ONLY ONE
OSLO COFFEE ROASTERS
PAKIZA RESTAURANT
PALO SANTO
PAN RICO AMBATENO
PANDA EXPRESS 2614
PANEANTICO BAKERY
PAPHOS DINER
PARK PLAZA RESTAURANT
PASTRY WORLD BAKERY
PEPPA'S JERK CHICKEN RESTAURANT
PEPPAS JERK CHICKEN RESTAURANT
PERRY'S RESTAURANT
PETE'S CLAM STOP
PETE'S PLACE PIZZA
PHO 60
PINO'S PIZZA AND GRILL
PLACE TO BEACH CANTINA
POETICA COFFEE
POKEBAB
POP'S RESTAURANT
POPEYES
POPEYES LOUISIANA CHICKEN
POPPY'S
POSITANO
POTBELLY SANDWICH WORKS
PRINCESS MANOR
Q & Q HOUSE
RISBO
RITZ WEST INDIAN CUISINE
ROYAL JERK
ROYAL PIZZA
SABOR DE COLOMBIA RESTAURANT & BAKERY
SALVI RESTAURANT
SAPPORO ICHIBAN
SAZON PEREZ RESTAURANT
SBARRO
SHIBAM YEMEN CAFE
SICILY'S BEST PIZZERIA & RESTAURANT
SILVER CHICKEN AND SEAFOOD
SIMPLY GREEK
SIPPY CAFE
SIX2 RESTAURANT & BAKERY
SKY ICE
SMASHBURGER
SMITH DELI
SOMETHING SWEET BK 86
SORRENTO
SPICY BAI CHUAN RESTAURANT
SPRING GARDEN RESTAURANT
STARBUCKS
STARBUCKS COFFEE
STARBUCKS COFFEE #14090
STEAM BOX
SUBWAY
SUNSET PARK DINER & DONUTS
SUNSET PARK PIZZA
SUPERFINE
SUSHI GALLERY
SUSHI LIN
SWEET POLLY
SWEETWATER RESTAURANT
SYCAMORE
T STEAKHOUSE
TACO BELL
TACO ZONE
TANDOORI MASALA
TAQUERIA COCOYOC
TEPPAN TERRITORY (DeKalb Market)
TEQUILITAS MEXICAN RESTAURANT
TESTO
TETE-A-TETE
TEXAS CHICKEN & BURGERS
TEXAS CHICKEN AND BURGERS
THANKS GIVING CHINESE FOOD
THE BERGEN
THE BLACK FLAMINGO
THE COOKIE HOUSE
THE EMPANADA SPOT WILLIAMSBURG
THE FLYING LOBSTER
THE GUMBO BROS
THE KETTLE BLACK
THE LITTLE SWEET CAFE
THE ORIGINAL PIZZA OF 4TH AVE
THE POUR HOUSE OF BAYRIDGE
THE RIVER CAFE
THE SICILIAN
THE SOUL SPOT
THE WEST CAFE
THIRST RX
THIS IS SOFIVE
THREE JOLLY PIGEONS
TOFU BOX
"TONY'S PIZZA, JERK CHICKEN AND FISH"
TONY'S PIZZERIA & RESTAURANT
TOPAZE RESTAURANT
TRADESMAN
Terrace BK Restaurant
The Boiling Palace
UNCLE LOUIE G ITALIAN ICES & ICE CREAM
UNIQUE J. KITCHEN & BAKERY
V & S PIZZERIA OF SHEAPSHEAD BAY
VANKA CAFE
VERY JUICE
VINNIE'S PIZZERIA
VIVI BUBBLE TEA
WASABI SUSHI
WENDY'S
WENDYS
WEST WINE BAR
WHITE CASTLE
WIKIWIKI
WILD BIRDS
WILKEN'S FINE FOOD
WOORI KOREAN RESTAURANT
WYCKOFF STARR
YAMASHIRO
YOGURT CITY
ZANMI RESTAURANT
ZINGER CHICKEN & GRILL
