NTA,NTA_Name
MN12,Upper West Side
MN15,Clinton
QN70,Astoria
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN12,Upper West Side
MN15,Clinton
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN12,Upper West Side
MN12,Upper West Side
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN12,Upper West Side
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN15,Clinton
QN70,Astoria
MN15,Clinton
MN15,Clinton
MN15,Clinton
QN46,Bayside-Bayside Hills
MN25,Battery Park City-Lower Manhattan
QN46,Bayside-Bayside Hills
MN25,Battery Park City-Lower Manhattan
MN25,Battery Park City-Lower Manhattan
MN25,Battery Park City-Lower Manhattan
QN46,Bayside-Bayside Hills
BK69,Clinton Hill
MN15,Clinton
MN15,Clinton
BK69,Clinton Hill
QN46,Bayside-Bayside Hills
MN21,Gramercy
BK69,Clinton Hill
MN21,Gramercy
QN46,Bayside-Bayside Hills
BK44,Madison
MN21,Gramercy
MN21,Gramercy
MN20,Murray Hill-Kips Bay
MN20,Murray Hill-Kips Bay
MN20,Murray Hill-Kips Bay
MN21,Gramercy
MN21,Gramercy
MN20,Murray Hill-Kips Bay
MN20,Murray Hill-Kips Bay
BX49,Pelham Parkway
BX49,Pelham Parkway
QN29,Elmhurst
QN29,Elmhurst
QN29,Elmhurst
QN29,Elmhurst
QN29,Elmhurst
QN29,Elmhurst
QN29,Elmhurst
QN68,Queensbridge-Ravenswood-Long Island City
QN61,Jamaica
QN61,Jamaica
QN68,Queensbridge-Ravenswood-Long Island City
QN61,Jamaica
MN14,Lincoln Square
MN14,Lincoln Square
MN14,Lincoln Square
MN14,Lincoln Square
QN70,Astoria
MN14,Lincoln Square
MN14,Lincoln Square
QN70,Astoria
QN17,Forest Hills
QN17,Forest Hills
SI22,West New Brighton-New Brighton-St. George
MN32,Yorkville
MN32,Yorkville
MN32,Yorkville
MN22,East Village
MN22,East Village
SI22,West New Brighton-New Brighton-St. George
MN36,Washington Heights South
QN50,Elmhurst-Maspeth
QN50,Elmhurst-Maspeth
MN36,Washington Heights South
MN36,Washington Heights South
MN22,East Village
QN50,Elmhurst-Maspeth
MN22,East Village
MN22,East Village
MN36,Washington Heights South
MN23,West Village
BK26,Gravesend
MN23,West Village
BK26,Gravesend
MN20,Murray Hill-Kips Bay
MN20,Murray Hill-Kips Bay
MN23,West Village
MN20,Murray Hill-Kips Bay
MN23,West Village
BK26,Gravesend
MN23,West Village
MN17,Midtown-Midtown South
MN17,Midtown-Midtown South
MN17,Midtown-Midtown South
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN01,Marble Hill-Inwood
MN17,Midtown-Midtown South
MN17,Midtown-Midtown South
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN17,Midtown-Midtown South
MN01,Marble Hill-Inwood
MN17,Midtown-Midtown South
BK73,North Side-South Side
BK73,North Side-South Side
QN46,Bayside-Bayside Hills
MN20,Murray Hill-Kips Bay
MN21,Gramercy
BK78,Bushwick South
QN46,Bayside-Bayside Hills
BK78,Bushwick South
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN32,Yorkville
MN32,Yorkville
MN34,East Harlem North
BK31,Bay Ridge
MN32,Yorkville
MN32,Yorkville
MN34,East Harlem North
MN32,Yorkville
MN32,Yorkville
BK31,Bay Ridge
MN32,Yorkville
MN32,Yorkville
MN32,Yorkville
MN32,Yorkville
MN34,East Harlem North
MN32,Yorkville
